Date,value
9/30/2010,11
9/29/2010,12
9/28/2010,12
9/27/2010,13
9/26/2010,14
9/25/2010,14
9/24/2010,14
9/23/2010,15
9/22/2010,15
9/21/2010,16
9/20/2010,15
9/19/2010,14
9/18/2010,15
9/17/2010,15
9/16/2010,16
9/15/2010,17
9/14/2010,19
9/13/2010,21
9/12/2010,23
9/11/2010,25
9/10/2010,29
9/9/2010,39
9/8/2010,44
9/7/2010,13
9/6/2010,2.2
9/5/2010,2.9
9/4/2010,2.7
9/3/2010,2.5
9/2/2010,2.1
9/1/2010,1.6
8/31/2010,1.9
8/30/2010,1.8
8/29/2010,2
8/28/2010,2.5
8/27/2010,2.6
8/26/2010,2.6
8/25/2010,2.7
8/24/2010,2.5
8/23/2010,2.5
8/22/2010,2.5
8/21/2010,2.4
8/20/2010,2.6
8/19/2010,2.6
8/18/2010,2.4
8/17/2010,2.4
8/16/2010,2.6
8/15/2010,3
8/14/2010,2.9
8/13/2010,3.4
8/12/2010,3.7
8/11/2010,3.7
8/10/2010,3.6
8/9/2010,3.5
8/8/2010,3.7
8/7/2010,4
8/6/2010,4
8/5/2010,4.1
8/4/2010,4.2
8/3/2010,4.2
8/2/2010,4.4
8/1/2010,4.9
7/31/2010,5.4
7/30/2010,5.6
7/29/2010,5.7
7/28/2010,5.4
7/27/2010,5.3
7/26/2010,5.5
7/25/2010,5.6
7/24/2010,5.3
7/23/2010,5.4
7/22/2010,5.4
7/21/2010,5.5
7/20/2010,5.5
7/19/2010,6
7/18/2010,6
7/17/2010,6.2
7/16/2010,6.2
7/15/2010,6.4
7/14/2010,6.8
7/13/2010,7.2
7/12/2010,7.9
7/11/2010,9
7/10/2010,12
7/9/2010,13
7/8/2010,4.6
7/7/2010,4.9
7/6/2010,5.4
7/5/2010,5.5
7/4/2010,6
7/3/2010,7.2
7/2/2010,6.3
7/1/2010,5.3
6/30/2010,5.6
6/29/2010,4.7
6/28/2010,4.1
6/27/2010,4.2
6/26/2010,4.2
6/25/2010,4.3
6/24/2010,4.7
6/23/2010,4.7
6/22/2010,5.1
6/21/2010,5.2
6/20/2010,5.2
6/19/2010,5.6
6/18/2010,5.7
6/17/2010,6.1
6/16/2010,5.9
6/15/2010,6.2
6/14/2010,6.6
6/13/2010,6.6
6/12/2010,6.9
6/11/2010,7.3
6/10/2010,7.6
6/9/2010,7.3
6/8/2010,7.1
6/7/2010,7.2
6/6/2010,7.4
6/5/2010,7.8
6/4/2010,8.1
6/3/2010,8.3
6/2/2010,7.7
6/1/2010,7.5
5/31/2010,7.8
5/30/2010,8.3
5/29/2010,8.6
5/28/2010,9.5
5/27/2010,10
5/26/2010,10
5/25/2010,11
5/24/2010,11
5/23/2010,12
5/22/2010,12
5/21/2010,12
5/20/2010,12
5/19/2010,13
5/18/2010,13
5/17/2010,13
5/16/2010,14
5/15/2010,16
5/14/2010,8.7
5/13/2010,8.2
5/12/2010,8.5
5/11/2010,9
5/10/2010,9.3
5/9/2010,9.6
5/8/2010,9.2
5/7/2010,9.7
5/6/2010,10
5/5/2010,11
5/4/2010,11
5/3/2010,11
5/2/2010,11
5/1/2010,12
4/30/2010,12
4/29/2010,12
4/28/2010,13
4/27/2010,13
4/26/2010,13
4/25/2010,14
4/24/2010,16
4/23/2010,16
4/22/2010,16
4/21/2010,17
4/20/2010,17
4/19/2010,18
4/18/2010,20
4/17/2010,15
4/16/2010,15
4/15/2010,15
4/14/2010,15
4/13/2010,15
4/12/2010,16
4/11/2010,16
4/10/2010,17
4/9/2010,17
4/8/2010,18
4/7/2010,19
4/6/2010,20
4/5/2010,20
4/4/2010,21
4/3/2010,21
4/2/2010,22
4/1/2010,22
3/31/2010,22
3/30/2010,22
3/29/2010,22
3/28/2010,22
3/27/2010,22
3/26/2010,22
3/25/2010,22
3/24/2010,23
3/23/2010,23
3/22/2010,22
3/21/2010,23
3/20/2010,22
3/19/2010,21
3/18/2010,21
3/17/2010,22
3/16/2010,21
3/15/2010,21
3/14/2010,22
3/13/2010,25
3/12/2010,29
3/11/2010,30
3/10/2010,30
3/9/2010,31
3/8/2010,33
3/7/2010,34
3/6/2010,35
3/5/2010,37
3/4/2010,38
3/3/2010,38
3/2/2010,41
3/1/2010,41
2/28/2010,38
2/27/2010,39
2/26/2010,42
2/25/2010,45
2/24/2010,46
2/23/2010,46
2/22/2010,49
2/21/2010,52
2/20/2010,54
2/19/2010,55
2/18/2010,57
2/17/2010,57
2/16/2010,59
2/15/2010,60
2/14/2010,62
2/13/2010,63
2/12/2010,63
2/11/2010,62
2/10/2010,62
2/9/2010,63
2/8/2010,64
2/7/2010,64
2/6/2010,66
2/5/2010,70
2/4/2010,65
2/3/2010,51
2/2/2010,48
2/1/2010,50
1/31/2010,52
1/30/2010,56
1/29/2010,55
1/28/2010,26
1/27/2010,25
1/26/2010,26
1/25/2010,27
1/24/2010,29
1/23/2010,31
1/22/2010,33
1/21/2010,36
1/20/2010,40
1/19/2010,45
1/18/2010,50
1/17/2010,55
1/16/2010,64
1/15/2010,29
1/14/2010,8
1/13/2010,8
1/12/2010,7.8
1/11/2010,7.8
1/10/2010,7.8
1/9/2010,8
1/8/2010,8.3
1/7/2010,8.8
1/6/2010,9.2
1/5/2010,9
1/4/2010,9.2
1/3/2010,9.6
1/2/2010,9.7
1/1/2010,9.4
12/31/2009,9.4
12/30/2009,9.2
12/29/2009,9
12/28/2009,8.9
12/27/2009,8.8
12/26/2009,9.5
12/25/2009,9.7
12/24/2009,10
12/23/2009,10
12/22/2009,9.9
12/21/2009,9.6
12/20/2009,9.7
12/19/2009,9.8
12/18/2009,10
12/17/2009,9.7
12/16/2009,9
12/15/2009,9.1
12/14/2009,9.6
12/13/2009,9.8
12/12/2009,10
12/11/2009,9.8
12/10/2009,9.5
12/9/2009,10
12/8/2009,11
12/7/2009,11
12/6/2009,11
12/5/2009,11
12/4/2009,11
12/3/2009,11
12/2/2009,13
12/1/2009,9.4
11/30/2009,8.4
11/29/2009,8.6
11/28/2009,8.7
11/27/2009,8.8
11/26/2009,9
11/25/2009,9.4
11/24/2009,10
11/23/2009,11
11/22/2009,13
11/21/2009,14
11/20/2009,9.2
11/19/2009,5.7
11/18/2009,5.9
11/17/2009,6
11/16/2009,6.2
11/15/2009,6.6
11/14/2009,7
11/13/2009,7.4
11/12/2009,7.6
11/11/2009,8.4
11/10/2009,10
11/9/2009,15
11/8/2009,6.4
11/7/2009,3.8
11/6/2009,3.9
11/5/2009,4
11/4/2009,4.2
11/3/2009,4.4
11/2/2009,5
11/1/2009,5.7
10/31/2009,6.4
10/30/2009,7.8
10/29/2009,9.9
10/28/2009,14
10/27/2009,23
10/26/2009,23
10/25/2009,4.5
10/24/2009,5.3
10/23/2009,7.7
10/22/2009,14
10/21/2009,1.4
10/20/2009,1.3
10/19/2009,1.4
10/18/2009,1.5
10/17/2009,1.5
10/16/2009,1.8
10/15/2009,2.4
10/14/2009,3.3
10/13/2009,3
10/12/2009,2.3
10/11/2009,2.4
10/10/2009,3.8
10/9/2009,4.9
10/8/2009,0.82
10/7/2009,0.88
10/6/2009,0.98
10/5/2009,1.3
10/4/2009,1.9
10/3/2009,0.89
10/2/2009,0.71
10/1/2009,0.73
