date,value
10/1/2009,20.9
10/2/2009,20.9
10/3/2009,21
10/4/2009,21
10/5/2009,21
10/6/2009,21
10/7/2009,21
10/8/2009,21
10/9/2009,21
10/10/2009,21
10/11/2009,21
10/12/2009,21
10/13/2009,21
10/14/2009,21
10/15/2009,21
10/16/2009,21
10/17/2009,21
10/18/2009,21
10/19/2009,21
10/20/2009,21
10/21/2009,21
10/22/2009,21
10/23/2009,21
10/24/2009,21
10/25/2009,21
10/26/2009,21
10/27/2009,20.9
10/28/2009,20.9
10/29/2009,20.9
10/30/2009,20.9
10/31/2009,20.9
11/1/2009,20.9
11/2/2009,20.9
11/3/2009,21
11/4/2009,21
11/5/2009,21
11/6/2009,21
11/7/2009,21
11/8/2009,21
11/9/2009,20.9
11/10/2009,20.8
11/11/2009,20.9
11/12/2009,20.9
11/13/2009,20.9
11/14/2009,20.9
11/15/2009,20.9
11/16/2009,20.9
11/17/2009,20.9
11/18/2009,20.9
11/19/2009,21
11/20/2009,21
11/21/2009,20.9
11/22/2009,20.9
11/23/2009,20.9
11/24/2009,20.9
11/25/2009,20.9
11/26/2009,20.9
11/27/2009,20.9
11/28/2009,20.9
11/29/2009,20.9
11/30/2009,20.9
12/1/2009,20.9
12/2/2009,20.9
12/3/2009,20.8
12/4/2009,20.8
12/5/2009,20.8
12/6/2009,20.8
12/7/2009,20.8
12/8/2009,20.8
12/9/2009,20.8
12/10/2009,20.82
12/11/2009,20.8
12/12/2009,20.8
12/13/2009,20.8
12/14/2009,20.8
12/15/2009,20.8
12/16/2009,20.8
12/17/2009,20.8
12/18/2009,20.8
12/19/2009,20.8
12/20/2009,20.8
12/21/2009,20.8
12/22/2009,20.8
12/23/2009,20.8
12/24/2009,20.8
12/25/2009,20.8
12/26/2009,20.79
12/28/2009,20.79
12/29/2009,20.8
12/30/2009,20.8
12/31/2009,20.8
1/1/2010,20.8
1/2/2010,20.8
1/3/2010,20.8
1/4/2010,20.8
1/5/2010,20.8
1/6/2010,20.8
1/7/2010,20.8
1/8/2010,20.8
1/9/2010,20.8
1/10/2010,20.8
1/11/2010,20.8
1/12/2010,20.8
1/13/2010,20.8
1/14/2010,20.8
1/15/2010,20.7
1/16/2010,19.4
1/17/2010,19.4
1/18/2010,19.3
1/19/2010,19.2
1/20/2010,19.2
1/21/2010,19.3
1/22/2010,19.4
1/23/2010,19.4
1/24/2010,19.5
1/25/2010,19.6
1/26/2010,19.6
1/27/2010,19.5
1/28/2010,19.5
1/29/2010,19.3
1/30/2010,18.9
1/31/2010,18.9
2/1/2010,18.8
2/2/2010,18.6
2/3/2010,18.5
2/4/2010,18.2
2/5/2010,18.1
2/6/2010,18
2/7/2010,18
2/8/2010,17.8
2/9/2010,17.8
2/10/2010,17.8
2/11/2010,17.6
2/12/2010,17.24
2/17/2010,17.7
2/18/2010,17.8
2/19/2010,17.8
2/20/2010,17.9
2/21/2010,18.1
2/22/2010,18.3
2/23/2010,18.5
2/24/2010,18.4
2/25/2010,18.2
2/26/2010,18.2
2/27/2010,18.4
2/28/2010,18.6
3/1/2010,18.6
3/2/2010,18.5
3/3/2010,18.6
3/4/2010,18.7
3/5/2010,18.8
3/6/2010,18.9
3/7/2010,18.9
3/8/2010,19
3/9/2010,19
3/10/2010,19.1
3/11/2010,19.2
3/12/2010,19.3
3/13/2010,19.3
3/14/2010,19.4
3/15/2010,19.4
3/16/2010,19.4
3/17/2010,19.5
3/18/2010,19.5
3/19/2010,19.5
3/20/2010,19.6
3/21/2010,19.6
3/22/2010,19.5
3/23/2010,19.5
3/24/2010,19.5
3/25/2010,19.5
3/26/2010,19.5
3/27/2010,19.6
3/28/2010,19.6
3/29/2010,19.7
3/30/2010,19.7
3/31/2010,19.7
4/1/2010,19.8
4/2/2010,19.8
4/3/2010,19.8
4/4/2010,19.9
4/5/2010,19.9
4/6/2010,19.9
4/7/2010,19.9
4/8/2010,20
4/9/2010,20
4/10/2010,20
4/11/2010,20
4/12/2010,20
4/13/2010,20
4/14/2010,20.1
4/15/2010,20.1
4/16/2010,20.1
4/17/2010,20.1
4/18/2010,20
4/19/2010,20
4/20/2010,20
4/21/2010,20
4/22/2010,20
4/23/2010,20
4/24/2010,20
4/25/2010,20.1
4/26/2010,20.1
4/27/2010,20.1
4/28/2010,20.1
4/29/2010,20.2
4/30/2010,20.2
5/1/2010,20.2
5/2/2010,20.2
5/3/2010,20.2
5/4/2010,20.2
5/5/2010,20.2
5/6/2010,20.3
5/7/2010,20.3
5/8/2010,20.3
5/9/2010,20.3
5/10/2010,20.3
5/11/2010,20.3
5/12/2010,20.3
5/13/2010,20.3
5/14/2010,20.3
5/15/2010,20.3
5/16/2010,20.2
5/17/2010,20.3
5/18/2010,20.3
5/19/2010,20.3
5/20/2010,20.3
5/21/2010,20.3
5/22/2010,20.3
5/23/2010,20.4
5/24/2010,20.4
