date,value
10/1/2009,0
10/2/2009,0.3
10/3/2009,0.7
10/4/2009,0.6
10/5/2009,0.6
10/6/2009,0.8
10/7/2009,0.8
10/8/2009,0.8
10/9/2009,1
10/10/2009,1.4
10/11/2009,1.4
10/12/2009,1.5
10/13/2009,1.3
10/14/2009,1.1
10/15/2009,1
10/16/2009,0.9
10/17/2009,0.9
10/18/2009,1
10/19/2009,0.9
10/20/2009,0.8
10/21/2009,0.8
10/22/2009,2.1
10/23/2009,1.9
10/24/2009,1.4
10/25/2009,1.1
10/26/2009,3.4
10/27/2009,3
10/28/2009,1.5
10/29/2009,1.2
10/30/2009,1.1
10/31/2009,0.9
11/1/2009,0.8
11/2/2009,0.8
11/3/2009,0.8
11/4/2009,0.7
11/5/2009,0.7
11/6/2009,0.5
11/7/2009,0.5
11/8/2009,0.5
11/9/2009,1.2
11/10/2009,1.5
11/11/2009,1.3
11/12/2009,1.1
11/13/2009,1
11/14/2009,1
11/15/2009,0.9
11/16/2009,0.9
11/17/2009,0.9
11/18/2009,0.9
11/19/2009,0.9
11/20/2009,0.9
11/21/2009,1
11/22/2009,1.2
11/23/2009,1.3
11/24/2009,1.2
11/25/2009,1
11/26/2009,1
11/27/2009,1
11/28/2009,1
11/29/2009,0.9
11/30/2009,0.9
12/1/2009,0.9
12/2/2009,0.9
12/3/2009,1
12/4/2009,1
12/5/2009,1
12/6/2009,1
12/7/2009,0.5
12/8/2009,0.4
12/9/2009,0.3
12/10/2009,0.4
12/11/2009,0.4
12/12/2009,0.4
12/13/2009,0.4
12/14/2009,0.4
12/15/2009,0.5
12/16/2009,0.5
12/17/2009,0.5
12/18/2009,0.3
12/19/2009,0.3
12/20/2009,0.3
12/21/2009,0.3
12/22/2009,0.2
12/23/2009,0.2
12/24/2009,0.2
12/25/2009,0.2
12/26/2009,0.21
12/28/2009,0.23
12/29/2009,0.2
12/30/2009,0.2
12/31/2009,0.2
1/1/2010,0.1
1/2/2010,0.3
1/3/2010,0.2
1/4/2010,0.2
1/5/2010,0.2
1/6/2010,0.2
1/7/2010,0.3
1/8/2010,0.3
1/9/2010,0.3
1/10/2010,0.3
1/11/2010,0.3
1/12/2010,0.3
1/13/2010,0.3
1/14/2010,0.2
1/15/2010,2.2
1/16/2010,8
1/17/2010,2
1/18/2010,1.3
1/19/2010,1.1
1/20/2010,1
1/21/2010,0.9
1/22/2010,0.8
1/23/2010,0.8
1/24/2010,0.8
1/25/2010,0.8
1/26/2010,0.7
1/27/2010,0.7
1/28/2010,0.7
1/29/2010,3.2
1/30/2010,2.1
1/31/2010,1.3
2/1/2010,1
2/2/2010,1
2/3/2010,1
2/4/2010,1.8
2/5/2010,2.1
2/6/2010,1.5
2/7/2010,1.3
2/8/2010,1.2
2/9/2010,1.2
2/10/2010,1.1
2/11/2010,1.1
2/12/2010,1.24
2/17/2010,0.96
2/18/2010,0.9
2/19/2010,0.9
2/20/2010,0.9
2/21/2010,0.9
2/22/2010,0.9
2/23/2010,0.9
2/24/2010,0.9
2/25/2010,0.9
2/26/2010,0.9
2/27/2010,0.9
2/28/2010,0.9
3/1/2010,0.9
3/2/2010,0.9
3/3/2010,0.9
3/4/2010,0.8
3/5/2010,0.8
3/6/2010,0.9
3/7/2010,0.9
3/8/2010,0.9
3/9/2010,0.9
3/10/2010,0.9
3/11/2010,0.9
3/12/2010,0.9
3/13/2010,0.9
3/14/2010,0.9
3/15/2010,0.9
3/16/2010,0.9
3/17/2010,0.9
3/18/2010,0.9
3/19/2010,0.9
3/20/2010,0.9
3/21/2010,0.9
3/22/2010,0.9
3/23/2010,0.9
3/24/2010,0.9
3/25/2010,0.9
3/26/2010,0.8
3/27/2010,0.8
3/28/2010,0.8
3/29/2010,0.8
3/30/2010,0.8
3/31/2010,0.8
4/1/2010,0.8
4/2/2010,0.8
4/3/2010,0.8
4/4/2010,0.8
4/5/2010,0.8
4/6/2010,0.8
4/7/2010,0.8
4/8/2010,0.8
4/9/2010,0.8
4/10/2010,0.7
4/11/2010,0.7
4/12/2010,0.6
4/13/2010,0.6
4/14/2010,0.6
4/15/2010,0.6
4/16/2010,0.6
4/17/2010,0.6
4/18/2010,0.6
4/19/2010,0.8
4/20/2010,0.7
4/21/2010,0.6
4/22/2010,0.6
4/23/2010,0.6
4/24/2010,0.6
4/25/2010,0.6
4/26/2010,0.6
4/27/2010,0.6
4/28/2010,0.6
4/29/2010,0.6
4/30/2010,0.6
5/1/2010,0.6
5/2/2010,0.5
5/3/2010,0.5
5/4/2010,0.5
5/5/2010,0.5
5/6/2010,0.5
5/7/2010,0.5
5/8/2010,0.5
5/9/2010,0.5
5/10/2010,0.5
5/11/2010,0.5
5/12/2010,0.5
5/13/2010,0.5
5/14/2010,0.4
5/15/2010,0.5
5/16/2010,0.6
5/17/2010,0.7
5/18/2010,0.6
5/19/2010,0.5
5/20/2010,0.5
5/21/2010,0.5
5/22/2010,0.4
5/23/2010,0.4
5/24/2010,0.4
5/25/2010,0.4
5/26/2010,0.3
5/27/2010,0.3
5/28/2010,0.6
5/29/2010,1
5/30/2010,0.9
5/31/2010,0.9
6/1/2010,0.7
6/2/2010,0.7
6/3/2010,0.7
6/4/2010,0.6
6/5/2010,0.6
6/6/2010,0.6
6/7/2010,0.7
6/8/2010,0.7
6/9/2010,0.6
6/10/2010,0.8
6/11/2010,0.9
6/12/2010,1.1
6/13/2010,0.9
6/14/2010,0.8
6/15/2010,0.8
6/16/2010,0.7
6/17/2010,0.7
6/18/2010,0.7
6/19/2010,0.7
6/20/2010,0.7
6/21/2010,0.5
6/22/2010,0.5
6/23/2010,0.4
6/24/2010,0.4
6/25/2010,0.5
6/26/2010,0.5
6/27/2010,0.4
6/28/2010,0.4
6/29/2010,0.3
6/30/2010,0.3
7/1/2010,0.3
7/2/2010,0.3
7/3/2010,0.4
7/4/2010,0.4
7/5/2010,0.3
7/6/2010,0.3
7/7/2010,0.4
7/8/2010,0.4
7/9/2010,0.8
7/10/2010,1.4
7/11/2010,1.2
7/12/2010,1
7/13/2010,0.8
7/14/2010,0.7
7/15/2010,0.6
7/16/2010,0.6
7/17/2010,0.6
7/18/2010,0.5
7/19/2010,0.5
7/20/2010,0.9
7/21/2010,0.8
7/22/2010,0.8
7/23/2010,0.8
7/24/2010,0.8
7/25/2010,0.9
7/26/2010,0.9
7/27/2010,0.8
7/28/2010,0.7
7/29/2010,0.7
7/30/2010,0.5
7/31/2010,0.5
8/1/2010,0.6
8/2/2010,0.6
8/3/2010,0.5
8/4/2010,0.6
8/5/2010,0.5
8/6/2010,0.7
8/7/2010,0.7
8/8/2010,0.7
8/9/2010,0.4
8/10/2010,0.4
8/11/2010,0.4
8/12/2010,0.4
8/13/2010,0.6
8/14/2010,0.8
8/15/2010,0.8
8/16/2010,0.4
8/17/2010,0.4
8/18/2010,0.4
8/19/2010,0.4
8/20/2010,0.4
8/21/2010,0.4
8/22/2010,0.4
8/23/2010,0.3
8/24/2010,0.8
8/25/2010,1.2
8/26/2010,1.2
8/27/2010,1.2
8/28/2010,1.2
8/29/2010,0.9
8/30/2010,0.9
8/31/2010,0.8
9/1/2010,0.6
9/2/2010,0.7
9/3/2010,0.8
9/4/2010,1
9/5/2010,1.1
9/9/2010,1.9
9/10/2010,1.1
9/11/2010,0.8
9/12/2010,0.7
9/13/2010,0.7
9/14/2010,0.7
9/15/2010,0.7
9/16/2010,0.7
9/17/2010,0.7
9/18/2010,0.8
9/19/2010,0.8
9/20/2010,0.8
9/21/2010,0.8
9/22/2010,0.8
9/23/2010,0.8
9/24/2010,0.9
9/25/2010,0.9
9/26/2010,0.8
9/27/2010,0.8
9/28/2010,0.9
9/29/2010,0.9
9/30/2010,0.9
