date,value
10/1/2009,0
10/2/2009,0
10/3/2009,2.9
10/4/2009,99
10/5/2009,89
10/6/2009,47
10/7/2009,30
10/8/2009,21
10/9/2009,110
10/10/2009,175
10/11/2009,100
10/12/2009,83
10/13/2009,68
10/14/2009,68
10/15/2009,63
10/16/2009,47
10/17/2009,37
10/18/2009,31
10/19/2009,26
10/20/2009,22
10/21/2009,19
10/22/2009,351
10/23/2009,454
10/24/2009,193
10/25/2009,147
10/26/2009,434
10/27/2009,638
10/28/2009,386
10/29/2009,278
10/30/2009,215
10/31/2009,186
11/1/2009,163
11/2/2009,144
11/3/2009,125
11/4/2009,108
11/5/2009,95
11/6/2009,87
11/7/2009,80
11/8/2009,84
11/9/2009,193
11/10/2009,156
11/11/2009,138
11/12/2009,122
11/13/2009,111
11/14/2009,99
11/15/2009,91
11/16/2009,86
11/17/2009,79
11/18/2009,75
11/19/2009,72
11/20/2009,84
11/21/2009,554
11/22/2009,286
11/23/2009,208
11/24/2009,179
11/25/2009,157
11/26/2009,144
11/27/2009,134
11/28/2009,128
11/29/2009,123
11/30/2009,119
12/1/2009,126
12/2/2009,176
12/3/2009,153
12/4/2009,146
12/5/2009,142
12/6/2009,142
12/7/2009,141
12/8/2009,140
12/9/2009,134
12/10/2009,125
12/11/2009,119
12/12/2009,120
12/13/2009,114
12/14/2009,109
12/15/2009,104
12/16/2009,95
12/17/2009,109
12/18/2009,110
12/19/2009,105
12/20/2009,100
12/21/2009,97
12/22/2009,95
12/23/2009,93
12/24/2009,102
12/25/2009,93
12/26/2009,90
12/27/2009,88
12/28/2009,84
12/29/2009,89
12/30/2009,99
12/31/2009,93
1/1/2010,89
1/2/2010,86
1/3/2010,85
1/4/2010,83
1/5/2010,79
1/6/2010,79
1/7/2010,79
1/8/2010,75
1/9/2010,73
1/10/2010,71
1/11/2010,70
1/12/2010,70
1/13/2010,69
1/14/2010,71
1/15/2010,162
1/16/2010,1270
1/17/2010,758
1/18/2010,556
1/19/2010,474
1/20/2010,424
1/21/2010,383
1/22/2010,338
1/23/2010,310
1/24/2010,283
1/25/2010,257
1/26/2010,238
1/27/2010,226
1/28/2010,226
1/29/2010,1390
1/30/2010,1030
1/31/2010,651
2/1/2010,564
2/2/2010,519
2/3/2010,600
2/4/2010,1950
2/5/2010,1950
2/6/2010,1270
2/7/2010,1040
2/8/2010,1020
2/9/2010,935
2/10/2010,778
2/11/2010,759
2/12/2010,955
2/13/2010,784
2/14/2010,702
2/15/2010,626
2/16/2010,569
2/17/2010,536
2/18/2010,505
2/19/2010,477
2/20/2010,456
2/21/2010,439
2/22/2010,410
2/23/2010,396
2/24/2010,429
2/25/2010,393
2/26/2010,363
2/27/2010,334
2/28/2010,316
3/1/2010,355
3/2/2010,378
3/3/2010,327
3/4/2010,305
3/5/2010,292
3/6/2010,280
3/7/2010,274
3/8/2010,279
3/9/2010,290
3/10/2010,278
3/11/2010,259
3/12/2010,243
3/13/2010,230
3/14/2010,223
3/15/2010,220
3/16/2010,229
3/17/2010,252
3/18/2010,250
3/19/2010,227
3/20/2010,242
3/21/2010,278
3/22/2010,263
3/23/2010,241
3/24/2010,237
3/25/2010,237
3/26/2010,230
3/27/2010,220
3/28/2010,213
3/29/2010,204
3/30/2010,200
3/31/2010,198
4/1/2010,194
4/2/2010,192
4/3/2010,189
4/4/2010,188
4/5/2010,185
4/6/2010,183
4/7/2010,181
4/8/2010,174
4/9/2010,167
4/10/2010,163
4/11/2010,161
4/12/2010,161
4/13/2010,158
4/14/2010,158
4/15/2010,167
4/16/2010,182
4/17/2010,202
4/18/2010,215
4/19/2010,218
4/20/2010,192
4/21/2010,183
4/22/2010,179
4/23/2010,180
4/24/2010,173
4/25/2010,169
4/26/2010,169
4/27/2010,161
4/28/2010,153
4/29/2010,150
4/30/2010,150
