Date,Jacobs Well Spg nr Wimberley (TX),Blanco Rv nr Kyle (TX)
10/1/2009 0:00,0.73,0
10/2/2009 0:00,0.71,0
10/3/2009 0:00,0.89,2.9
10/4/2009 0:00,1.9,99
10/5/2009 0:00,1.3,89
10/6/2009 0:00,0.98,47
10/7/2009 0:00,0.88,30
10/8/2009 0:00,0.82,21
10/9/2009 0:00,4.9,110
10/10/2009 0:00,3.8,175
10/11/2009 0:00,2.4,100
10/12/2009 0:00,2.3,83
10/13/2009 0:00,3,68
10/14/2009 0:00,3.3,68
10/15/2009 0:00,2.4,63
10/16/2009 0:00,1.8,47
10/17/2009 0:00,1.5,37
10/18/2009 0:00,1.5,31
10/19/2009 0:00,1.4,26
10/20/2009 0:00,1.3,22
10/21/2009 0:00,1.4,19
10/22/2009 0:00,14,351
10/23/2009 0:00,7.7,454
10/24/2009 0:00,5.3,193
10/25/2009 0:00,4.5,147
10/26/2009 0:00,23,434
10/27/2009 0:00,23,638
10/28/2009 0:00,14,386
10/29/2009 0:00,9.9,278
10/30/2009 0:00,7.8,215
10/31/2009 0:00,6.4,186
11/1/2009 0:00,5.7,163
11/2/2009 0:00,5,144
11/3/2009 0:00,4.4,125
11/4/2009 0:00,4.2,108
11/5/2009 0:00,4,95
11/6/2009 0:00,3.9,87
11/7/2009 0:00,3.8,80
11/8/2009 0:00,6.4,84
11/9/2009 0:00,15,193
11/10/2009 0:00,10,156
11/11/2009 0:00,8.4,138
11/12/2009 0:00,7.6,122
11/13/2009 0:00,7.4,111
11/14/2009 0:00,7,99
11/15/2009 0:00,6.6,91
11/16/2009 0:00,6.2,86
11/17/2009 0:00,6,79
11/18/2009 0:00,5.9,75
11/19/2009 0:00,5.7,72
11/20/2009 0:00,9.2,84
11/21/2009 0:00,14,554
11/22/2009 0:00,13,286
11/23/2009 0:00,11,208
11/24/2009 0:00,10,179
11/25/2009 0:00,9.4,157
11/26/2009 0:00,9,144
11/27/2009 0:00,8.8,134
11/28/2009 0:00,8.7,128
11/29/2009 0:00,8.6,123
11/30/2009 0:00,8.4,119
12/1/2009 0:00,9.4,126
12/2/2009 0:00,13,176
12/3/2009 0:00,11,153
12/4/2009 0:00,11,146
12/5/2009 0:00,11,142
12/6/2009 0:00,11,142
12/7/2009 0:00,11,141
12/8/2009 0:00,11,140
12/9/2009 0:00,10,134
12/10/2009 0:00,9.5,125
12/11/2009 0:00,9.8,119
12/12/2009 0:00,10,120
12/13/2009 0:00,9.8,114
12/14/2009 0:00,9.6,109
12/15/2009 0:00,9.1,104
12/16/2009 0:00,9,95
12/17/2009 0:00,9.7,109
12/18/2009 0:00,10,110
12/19/2009 0:00,9.8,105
12/20/2009 0:00,9.7,100
12/21/2009 0:00,9.6,97
12/22/2009 0:00,9.9,95
12/23/2009 0:00,10,93
12/24/2009 0:00,10,102
12/25/2009 0:00,9.7,93
12/26/2009 0:00,9.5,90
12/27/2009 0:00,8.8,88
12/28/2009 0:00,8.9,84
12/29/2009 0:00,9,89
12/30/2009 0:00,9.2,99
12/31/2009 0:00,9.4,93
1/1/2010 0:00,9.4,89
1/2/2010 0:00,9.7,86
1/3/2010 0:00,9.6,85
1/4/2010 0:00,9.2,83
1/5/2010 0:00,9,79
1/6/2010 0:00,9.2,79
1/7/2010 0:00,8.8,79
1/8/2010 0:00,8.3,75
1/9/2010 0:00,8,73
1/10/2010 0:00,7.8,71
1/11/2010 0:00,7.8,70
1/12/2010 0:00,7.8,70
1/13/2010 0:00,8,69
1/14/2010 0:00,8,71
1/15/2010 0:00,29,162
1/16/2010 0:00,64,1270
1/17/2010 0:00,55,758
1/18/2010 0:00,50,556
1/19/2010 0:00,45,474
1/20/2010 0:00,40,424
1/21/2010 0:00,36,383
1/22/2010 0:00,33,338
1/23/2010 0:00,31,310
1/24/2010 0:00,29,283
1/25/2010 0:00,27,257
