date,value
10/1/2009 0:00,13
10/2/2009 0:00,8
10/3/2009 0:00,0
10/4/2009 0:00,31
10/5/2009 0:00,50
10/6/2009 0:00,10
10/7/2009 0:00,24
10/8/2009 0:00,10
10/9/2009 0:00,48
10/10/2009 0:00,41
10/11/2009 0:00,17
10/12/2009 0:00,3
10/13/2009 0:00,47
10/14/2009 0:00,35
10/15/2009 0:00,47
10/16/2009 0:00,8
10/17/2009 0:00,6
10/18/2009 0:00,40
10/19/2009 0:00,21
10/20/2009 0:00,16
10/21/2009 0:00,8
10/22/2009 0:00,27
10/23/2009 0:00,11
10/24/2009 0:00,26
10/25/2009 0:00,45
10/26/2009 0:00,22
10/27/2009 0:00,13
10/28/2009 0:00,23
10/29/2009 0:00,12
10/30/2009 0:00,40
10/31/2009 0:00,1
11/1/2009 0:00,28
11/2/2009 0:00,29
11/3/2009 0:00,48
11/4/2009 0:00,17
11/5/2009 0:00,31
11/6/2009 0:00,10
11/7/2009 0:00,10
11/8/2009 0:00,28
11/9/2009 0:00,20
11/10/2009 0:00,35
11/11/2009 0:00,10
11/12/2009 0:00,5
11/13/2009 0:00,32
11/14/2009 0:00,19
11/15/2009 0:00,22
11/16/2009 0:00,7
11/17/2009 0:00,31
11/18/2009 0:00,3
11/19/2009 0:00,31
11/20/2009 0:00,20
11/21/2009 0:00,12
11/22/2009 0:00,8
11/23/2009 0:00,19
11/24/2009 0:00,31
11/25/2009 0:00,35
11/26/2009 0:00,48
11/27/2009 0:00,14
11/28/2009 0:00,7
11/29/2009 0:00,30
11/30/2009 0:00,49
12/1/2009 0:00,35
12/2/2009 0:00,30
12/3/2009 0:00,33
12/4/2009 0:00,30
12/5/2009 0:00,48
12/6/2009 0:00,15
12/7/2009 0:00,3
12/8/2009 0:00,6
12/9/2009 0:00,46
12/10/2009 0:00,34
12/11/2009 0:00,22
12/12/2009 0:00,13
12/13/2009 0:00,42
12/14/2009 0:00,33
12/15/2009 0:00,49
12/16/2009 0:00,2
12/17/2009 0:00,16
12/18/2009 0:00,40
12/19/2009 0:00,41
12/20/2009 0:00,28
12/21/2009 0:00,14
12/22/2009 0:00,33
12/23/2009 0:00,27
12/24/2009 0:00,10
12/25/2009 0:00,22
12/26/2009 0:00,23
12/27/2009 0:00,35
12/28/2009 0:00,34
12/29/2009 0:00,36
12/30/2009 0:00,19
12/31/2009 0:00,48
1/1/2010 0:00,42
1/2/2010 0:00,38
1/3/2010 0:00,21
1/4/2010 0:00,28
1/5/2010 0:00,19
1/6/2010 0:00,12
1/7/2010 0:00,26
1/8/2010 0:00,14
1/9/2010 0:00,43
1/10/2010 0:00,38
1/11/2010 0:00,24
1/12/2010 0:00,19
1/13/2010 0:00,7
1/14/2010 0:00,33
1/15/2010 0:00,8
1/16/2010 0:00,30
1/17/2010 0:00,42
1/18/2010 0:00,43
1/19/2010 0:00,8
1/20/2010 0:00,17
1/21/2010 0:00,30
1/22/2010 0:00,36
1/23/2010 0:00,17
1/24/2010 0:00,36
1/25/2010 0:00,29
1/26/2010 0:00,45
1/27/2010 0:00,31
1/28/2010 0:00,35
1/29/2010 0:00,29
1/30/2010 0:00,6
1/31/2010 0:00,31
2/1/2010 0:00,12
2/2/2010 0:00,9
2/3/2010 0:00,29
2/4/2010 0:00,35
2/5/2010 0:00,47
2/6/2010 0:00,28
2/7/2010 0:00,1
2/8/2010 0:00,20
2/9/2010 0:00,46
2/10/2010 0:00,42
2/11/2010 0:00,7
2/12/2010 0:00,16
2/13/2010 0:00,39
2/14/2010 0:00,40
2/15/2010 0:00,36
2/16/2010 0:00,3
2/17/2010 0:00,23
2/18/2010 0:00,43
2/19/2010 0:00,40
2/20/2010 0:00,27
2/21/2010 0:00,0
2/22/2010 0:00,13
2/23/2010 0:00,20
2/24/2010 0:00,20
2/25/2010 0:00,6
2/26/2010 0:00,47
2/27/2010 0:00,0
2/28/2010 0:00,22
3/1/2010 0:00,5
3/2/2010 0:00,32
3/3/2010 0:00,48
3/4/2010 0:00,47
3/5/2010 0:00,35
3/6/2010 0:00,32
3/7/2010 0:00,23
3/8/2010 0:00,35
3/9/2010 0:00,20
3/10/2010 0:00,29
3/11/2010 0:00,45
3/12/2010 0:00,46
3/13/2010 0:00,48
3/14/2010 0:00,48
3/15/2010 0:00,9
3/16/2010 0:00,36
3/17/2010 0:00,34
3/18/2010 0:00,8
3/19/2010 0:00,2
3/20/2010 0:00,19
3/21/2010 0:00,3
3/22/2010 0:00,50
3/23/2010 0:00,50
3/24/2010 0:00,40
3/25/2010 0:00,29
3/26/2010 0:00,8
3/27/2010 0:00,47
3/28/2010 0:00,4
3/29/2010 0:00,41
3/30/2010 0:00,11
3/31/2010 0:00,20
4/1/2010 0:00,0
4/2/2010 0:00,16
4/3/2010 0:00,39
4/4/2010 0:00,35
4/5/2010 0:00,32
4/6/2010 0:00,29
4/7/2010 0:00,15
4/8/2010 0:00,9
4/9/2010 0:00,27
4/10/2010 0:00,6
4/11/2010 0:00,18
4/12/2010 0:00,25
4/13/2010 0:00,11
4/14/2010 0:00,20
4/15/2010 0:00,39
4/16/2010 0:00,42
4/17/2010 0:00,22
4/18/2010 0:00,18
4/19/2010 0:00,41
4/20/2010 0:00,21
4/21/2010 0:00,22
4/22/2010 0:00,19
4/23/2010 0:00,36
4/24/2010 0:00,16
4/25/2010 0:00,29
4/26/2010 0:00,2
4/27/2010 0:00,19
4/28/2010 0:00,40
4/29/2010 0:00,36
4/30/2010 0:00,40
5/1/2010 0:00,11
5/2/2010 0:00,14
5/3/2010 0:00,34
5/4/2010 0:00,35
5/5/2010 0:00,27
5/6/2010 0:00,8
5/7/2010 0:00,28
5/8/2010 0:00,49
5/9/2010 0:00,24
5/10/2010 0:00,15
5/11/2010 0:00,44
5/12/2010 0:00,30
5/13/2010 0:00,8
5/14/2010 0:00,45
5/15/2010 0:00,19
5/16/2010 0:00,29
5/17/2010 0:00,10
5/18/2010 0:00,35
5/19/2010 0:00,11
5/20/2010 0:00,33
5/21/2010 0:00,40
5/22/2010 0:00,49
5/23/2010 0:00,2
5/24/2010 0:00,48
5/25/2010 0:00,0
5/26/2010 0:00,40
5/27/2010 0:00,21
5/28/2010 0:00,42
5/29/2010 0:00,45
5/30/2010 0:00,19
5/31/2010 0:00,6
6/1/2010 0:00,1
6/2/2010 0:00,42
6/3/2010 0:00,15
6/4/2010 0:00,16
6/5/2010 0:00,19
6/6/2010 0:00,38
6/7/2010 0:00,26
6/8/2010 0:00,35
6/9/2010 0:00,19
6/10/2010 0:00,43
6/11/2010 0:00,16
6/12/2010 0:00,0
6/13/2010 0:00,32
6/14/2010 0:00,6
6/15/2010 0:00,7
6/16/2010 0:00,47
6/17/2010 0:00,7
6/18/2010 0:00,18
6/19/2010 0:00,37
6/20/2010 0:00,2
6/21/2010 0:00,23
6/22/2010 0:00,30
6/23/2010 0:00,9
6/24/2010 0:00,16
6/25/2010 0:00,32
6/26/2010 0:00,35
6/27/2010 0:00,4
6/28/2010 0:00,15
6/29/2010 0:00,22
6/30/2010 0:00,9
7/1/2010 0:00,36
7/2/2010 0:00,25
7/3/2010 0:00,40
7/4/2010 0:00,17
7/5/2010 0:00,13
7/6/2010 0:00,34
7/7/2010 0:00,21
7/8/2010 0:00,35
7/9/2010 0:00,15
7/10/2010 0:00,16
7/11/2010 0:00,15
7/12/2010 0:00,18
7/13/2010 0:00,8
7/14/2010 0:00,20
7/15/2010 0:00,29
7/16/2010 0:00,13
7/17/2010 0:00,38
7/18/2010 0:00,14
7/19/2010 0:00,20
7/20/2010 0:00,36
7/21/2010 0:00,20
7/22/2010 0:00,15
7/23/2010 0:00,14
7/24/2010 0:00,4
7/25/2010 0:00,15
7/26/2010 0:00,0
7/27/2010 0:00,49
7/28/2010 0:00,40
7/29/2010 0:00,10
7/30/2010 0:00,36
7/31/2010 0:00,19
8/1/2010 0:00,0
8/2/2010 0:00,1
8/3/2010 0:00,33
8/4/2010 0:00,37
8/5/2010 0:00,40
8/6/2010 0:00,17
8/7/2010 0:00,13
8/8/2010 0:00,11
8/9/2010 0:00,45
8/10/2010 0:00,19
8/11/2010 0:00,27
8/12/2010 0:00,16
8/13/2010 0:00,12
8/14/2010 0:00,46
